,Признак,Q1,Q3,IQR,Нижняя_граница,Верхняя_граница,Кол-во_выбросов,%_выбросов
30,фтор_вода,0.095,0.1,0.0050000000000000044,0.0875,0.10750000000000001,66,19.526627218934912
47,pH_вода,7.76,7.84,0.08000000000000007,7.64,7.96,65,19.230769230769234
31,фтор_воздух,0.003,0.004,0.001,0.0015,0.0055,53,15.680473372781064
38,эндокринные,0.0,0.0,0.0,0.0,0.0,53,15.680473372781064
49,пол,0.0,0.0,0.0,0.0,0.0,53,15.680473372781064
41,дней_до_белки,0.866666667,1.0,0.13333333300000005,0.6666666674999999,1.1999999995000001,46,13.609467455621301
39,дней_до_фтор,1.0,1.0,0.0,1.0,1.0,40,11.834319526627219
33,курение_алкоголь,0.0,0.0,0.0,0.0,0.0,40,11.834319526627219
23,жиры_фтор,94.7,319.63882352941175,224.93882352941176,-242.70823529411763,657.0470588235294,38,11.242603550295858
1,pH_слюны_2,0.07,0.17385,0.10385,-0.08577499999999999,0.329625,37,10.946745562130179
8,pH_мочи_вечер_2,0.5575,1.217857143,0.660357143,-0.4330357145,2.2083928575,30,8.875739644970414
18,белок_продукты,19.475,35.9516666675,16.476666667499998,-5.240000001249996,60.66666666875,29,8.579881656804734
40,дней_до_жиры,0.866666667,1.0,0.13333333300000005,0.6666666674999999,1.1999999995000001,29,8.579881656804734
6,pH_мочи_утро_2,0.53,1.2075,0.6775,-0.48624999999999985,2.22375,29,8.579881656804734
19,белок_фтор,62.75,202.47500000000002,139.72500000000002,-146.83750000000003,412.06250000000006,28,8.284023668639055
46,фтор_чай,1.634,2.662,1.028,0.09199999999999986,4.204,27,7.988165680473373
0,pH_слюны,7.132941176470588,7.607857143,0.47491596652941226,6.42056722667647,8.320231092794119,26,7.6923076923076925
14,КПУ,9.0,13.0,4.0,3.0,19.0,26,7.6923076923076925
28,кальций_белок,0.0,0.0,0.0,0.0,0.0,26,7.6923076923076925
27,кальций_фтор,0.0,0.0,0.0,0.0,0.0,26,7.6923076923076925
29,кальций_жиры,0.0,0.0,0.0,0.0,0.0,26,7.6923076923076925
26,кальций_продукты,0.0,0.0,0.0,0.0,0.0,25,7.396449704142012
24,жиры_белок,0.705,2.985,2.28,-2.715,6.404999999999999,25,7.396449704142012
42,дней_до_кальций,0.0,0.0,0.0,0.0,0.0,25,7.396449704142012
22,жиры_продукты,25.625,51.01875,25.393749999999997,-12.465624999999996,89.109375,24,7.100591715976331
17,фтор_кальций,0.0,0.0,0.0,0.0,0.0,24,7.100591715976331
2,pH_мочи_утро,5.512499999999999,5.899531250000001,0.3870312500000015,4.931953124999997,6.480078125000003,23,6.804733727810651
4,pH_мочи_вечер,5.65,6.162125,0.5121249999999993,4.881812500000001,6.9303124999999985,23,6.804733727810651
21,белок_кальций,0.0,0.0,0.0,0.0,0.0,23,6.804733727810651
50,фтор_моча_кг,0.008,0.019,0.011,-0.0085,0.035500000000000004,21,6.21301775147929
15,фтор_продукты,0.19,0.427857143,0.237857143,-0.16678571449999996,0.7846428575,20,5.9171597633136095
25,жиры_кальций,0.0,0.0,0.0,0.0,0.0,20,5.9171597633136095
20,белок_жиры,0.365,1.285333333,0.9203333330000001,-1.0154999995,2.6658333325,19,5.621301775147929
16,фтор_жиры,0.004,0.013166667,0.009166667,-0.0097500005,0.026916667499999998,18,5.325443786982249
7,pH_мочи_день_2,0.47,1.11,0.6400000000000001,-0.4900000000000002,2.0700000000000003,18,5.325443786982249
11,рост,160.0,170.0,10.0,145.0,185.0,14,4.142011834319527
13,энергозатраты,1788.0,2155.0,367.0,1237.5,2705.5,14,4.142011834319527
12,вес,57.0,79.0,22.0,24.0,112.0,14,4.142011834319527
5,pH_мочи_средняя,5.671052632,6.09,0.41894736799999954,5.042631580000001,6.718421051999999,13,3.8461538461538463
3,pH_мочи_день,5.55,6.2125,0.6625000000000005,4.556249999999999,7.206250000000001,13,3.8461538461538463
9,pH_мочи_средняя_2,0.57,1.3075,0.7375000000000002,-0.5362500000000002,2.4137500000000003,13,3.8461538461538463
32,рефлюкс,0.0,1.0,1.0,-1.5,2.5,1,0.2958579881656805
34,пародонтит,0.0,1.0,1.0,-1.5,2.5,1,0.2958579881656805
36,риск_кариеса,0.0,1.0,1.0,-1.5,2.5,1,0.2958579881656805
37,бруксизм,0.0,1.0,1.0,-1.5,2.5,1,0.2958579881656805
35,кариес,0.0,1.0,1.0,-1.5,2.5,1,0.2958579881656805
45,фториды_твердые_ПДК,0.17,0.18,0.009999999999999981,0.15500000000000003,0.19499999999999995,1,0.2958579881656805
44,фториды_твердые,0.0052,0.0085,0.003300000000000001,0.0002499999999999985,0.013450000000000002,1,0.2958579881656805
43,гидрофторид_ПДК,0.48,0.52,0.040000000000000036,0.41999999999999993,0.5800000000000001,1,0.2958579881656805
48,pH_чай,6.12,6.64,0.5199999999999996,5.340000000000001,7.419999999999999,1,0.2958579881656805
